URL,TITLE,LOCATION,PRICE PER MONTH,AREA IN m²,NUMBER OF ROOMS,INTERIOR,DESCRIPTION,OFFERED SINCE,AVAILABILITY,SPECIFICATION,UPKEEP STATUS,VOLUME,TYPE,CONSTRUCTION TYPE,CONSTRUCTION YEAR,LOCATION TYPE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,NUMBER OF FLOORS,DETAILS OF BALCONY,DETAILS OF GARDEN,DETAILS OF STORAGE,DESCRIPTION OF STORAGE,GARAGE,CONTACT DETAILS
https://www.pararius.com/apartment-for-rent/amsterdam/ed912f52/arubastraat,Apartment Arubastraat 2 hs,1058 VE (Westindische Buurt),2450,90,4,Furnished,THIS LISTING IS ALSO PERFECT TO USE AS AN OFFICE OR PRACTICE WITH LIVING PURPOSES (HOME OFFICE),3 weeks,Not available to book,Specifics are not available,Upkeep is not available,286,Apartment,Existing building,1928,Location type is not available,3,1,1,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Details of garage is not available,https://www.pararius.com/contact/ed912f52/amsterdam/makelaarshuis-amsterdam-zaanstad/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/da82b951/klaas-katerstraat,Apartment Klaas Katerstraat,1069 RT (Osdorp-Midden),2000,79,3,Furnished,KLAAS KATERSTRAAT (CA.79M2) AMSTERDAM-NIEUWE WEST / AKER  ,21-07-2022,01-09-2022,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,2,1,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/da82b951/amsterdam/amsterdam-city-homes/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/47df7a8b/zeeburgerdijk,Apartment Zeeburgerdijk 18 I,1094 AD (Indische Buurt West),1650,40,2,Upholstered or furnished,Neat and furnished apartment in a central location in East!,24-07-2022,01-09-2022,Specifics are not available,Upkeep is not available,120,Apartment,Existing building,Before 1906,Location type is not available,1,1,1,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Details of garage is not available,https://www.pararius.com/contact/47df7a8b/amsterdam/ma-residences/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/c84b0d24/stadhouderskade,Apartment Stadhouderskade 128 II,1074 AV (Oude Pijp),2500,77,3,Upholstered,Spacious apartment with elevator into the apartment on the Stadhouderskade!,24-07-2022,01-08-2022,Specifics are not available,Upkeep is not available,200,Apartment,Existing building,1882,Location type is not available,2,1,1,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Details of garage is not available,https://www.pararius.com/contact/c84b0d24/amsterdam/ma-residences/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/bfdf65ca/schaepmanstraat,Apartment Schaepmanstraat 226,1051 JJ (Staatsliedenbuurt),2700,62,3,Furnished,"Completely renovated three-room apartment on the ground floor in the popular Staatsliedenbuurt. The house is located on the corner of Schaepmanstraat and Van Bossestraat and has a modern kitchen with appliances, bright and spacious living room, modern bathroom and two bedrooms. The Staatsliedenbuurt is one of the most popular areas in Amsterdam. With all imaginable amenities nearby, shops, restaurants, boutiques and yet in a green and quiet environment.",24-07-2022,consultation,Specifics are not available,Excellent,210,Apartment,Existing building,1917,in a residential area,2,1,1,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/bfdf65ca/amsterdam/forte-makelaars/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/8d638a89/kinderdijkstraat,Apartment Kinderdijkstraat,1079 GD (Rijnbuurt),3500,123,5,Upholstered,"Spacious, modern and exeptionally brigth double top floor apartment of aprox 120m2 with two balconies and a roof terrace of approx 40m2. located in the popular Rivierenbuurt.",24-07-2022,Not available to book,Specifics are not available,Good,400,Apartment,Existing building,1931-1944,Location type is not available,4,1,3,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/8d638a89/amsterdam/valerius-rentals/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/f88e2a5c/oudezijds-voorburgwal,Apartment Oudezijds Voorburgwal 34,1012 GD (Burgwallen-Oude Zijde),1950,60,2,Furnished,Furnished apartment with balcony for rent in Amsterdam with 1 bedroom in the Burgwallen-Oude Zijde district.,23-07-2022,11-08-2022,Protected townscape,Excellent,305,Apartment,Existing building,2008,Location type is not available,1,Number of bathrooms is not available,1,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/f88e2a5c/amsterdam/b2-makelaars/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/def050f1/rozenstraat,Apartment Rozenstraat,1016 NT (Jordaan),3500,80,4,Furnished,SHORTSTAY Apartment - available for 1 month - November 2022.,23-07-2022,consultation,Specifics are not available,Excellent,251,Apartment,Existing building,Before 1906,Location type is not available,3,1,3,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Details of garage is not available,https://www.pararius.com/contact/def050f1/amsterdam/newcurb-makelaars/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/1f802fd0/houtmankade,Apartment Houtmankade 7 IV,1013 MP (Spaarndammer- en Zeeheldenbuurt),1900,85,3,Interior is not available,Newly available and situated in a fantastic location; THREE room apartment at the Houtmankade 7-IV.,23-07-2022,consultation,Specifics are not available,Good,225,Apartment,Existing building,1906-1930,Location type is not available,2,1,1,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/1f802fd0/amsterdam/henk-burger-makelaardij/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/e1adeb82/veemkade,Apartment Veemkade 268,1019 HD (Oostelijk Havengebied),2400,100,3,Furnished,"Great and comfortable apartment with 2 bedrooms on a central location and with a great view over the IJ-river. The living is situated at the IJ-river and gives a great view on the water. The apartment has a nice laminated floor, floor heating throughout the complete apartment, it will be delivered in a fully furnished condition and is available by the 1st of September! A private parking spot can be rented extra for € 150,-. The apartment has 2 entrances. On the first and second floor.",23-07-2022,01-09-2022,Specifics are not available,Good,260,Apartment,Existing building,2001-2010,Location type is not available,2,1,2,Not present,Details of garden is not available,Details of storage is not available,"+ € 150,-",Yes,https://www.pararius.com/contact/e1adeb82/amsterdam/jlg-real-estate/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/23acac1b/marie-heinekenplein,Apartment Marie Heinekenplein 1002,1072 MN (Oude Pijp),3000,107,3,Upholstered,This is a rare opportunity! A spacious two bedroom apartment on the 11th. floor of this apartment building in the middle of the Pijp area with great views over the city.,23-07-2022,19-08-2022,Specifics are not available,Excellent,288,Apartment,Existing building,1995,Location type is not available,2,1,1,Present,Details of garden is not available,Present,Inpandig,Yes,https://www.pararius.com/contact/23acac1b/amsterdam/jlg-real-estate/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/3c0d0f7e/prinsengracht,Apartment Prinsengracht 701 2A,1017 JV (Grachtengordel-Zuid),2050,60,2,Upholstered or furnished,Exclusively for rent at de Hollandsche Makelaardij a beautiful apartment on the Prinsengracht in Amsterdam-Centre:,23-07-2022,Not available to book,Monumental building,Good,144,Apartment,Existing building,1005,Location type is not available,1,1,1,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/3c0d0f7e/amsterdam/hollandsche-makelaardij/request-details
