TITLE,LOCATION,PRICE PER MONTH,AREA IN m²,NUMBER OF ROOMS,INTERIOR,DESCRIPTION,OFFERED SINCE,AVAILABILITY,SPECIFICATION,UPKEEP STATUS,VOLUME,TYPE,CONSTRUCTION TYPE,CONSTRUCTION YEAR,LOCATION TYPE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,NUMBER OF FLOORS,DETAILS OF BALCONY,DETAILS OF GARDEN,DETAILS OF STORAGE,DESCRIPTION OF STORAGE,GARAGE,CONTACT DETAILS
Apartment Tweede Hugo de Grootstraat 28 C1,1052 LD (Frederik Hendrikbuurt),1900,60,3,Furnished,We offer this apartment with two bedrooms in a fantastic location at the Hugo de Grootplein.,3 weeks,01-08-2022,Specifics are not available,Excellent,159,Apartment,Existing building,1901,Location type is not available,2,1,1,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/6d2eeeac/amsterdam/the-rental-agency-amsterdam/request-details
Apartment Oudezijds Voorburgwal 217 E,1012 EX (Burgwallen-Oude Zijde),2900,150,3,Upholstered,"Beauty, history and grandness are just a few words that come to mind in this beautiful 150sqm apartment with amazing views over the canal of Oudezijds Voorburgwal! ",3 weeks,Not available to book,Monumental building,Upkeep is not available,480,Apartment,Existing building,1735,Location type is not available,2,1,1,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/af10a843/amsterdam/listings/request-details
Apartment President Kennedyplantsoen,1079 SK (Rijnbuurt),1650,50,2,Upholstered,Nice upholstered apartment for rent in Amsterdam with 1 bedroom in the Rijnbuurt district.,3 weeks,01-08-2022,Accessible for disabled people,Good,150,Apartment,Existing building,2016,in a residential area,1,1,1,Not present,Details of garden is not available,Present,Inpandig,No,https://www.pararius.com/contact/d4364a51/amsterdam/donne-vastgoed/request-details
Apartment Koningin Wilhelminaplein,1062 KS (Westlandgracht),1795,80,3,Interior is not available,Apartment with balcony for rent in Amsterdam with 2 bedrooms in the Westlandgracht district.,3 weeks,Not available to book,Specifics are not available,Good,280,Apartment,Existing building,2016,Location type is not available,2,Number of bathrooms is not available,1,Present,Details of garden is not available,Details of storage is not available,Garage mogelijk,Yes,https://www.pararius.com/contact/b74195fa/amsterdam/wooove-b-v/request-details
Apartment Amstelkade,1078 AZ (Scheldebuurt),2500,93,4,Furnished,ENGLISH,4 weeks,01-08-2022,Specifics are not available,Excellent,280,Apartment,Existing building,1930,Location type is not available,2,1,1,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/b02719f6/amsterdam/the-rental-agency-amsterdam/request-details
Apartment Spinhuissteeg,1012 CJ (Burgwallen-Oude Zijde),2500,80,4,Interior is not available,"A typical characteristic and fully furnished apartment of 80m2, divided into four levels with a cute roof terrace, located in the old city center of Amsterdam. ",4 weeks,Not available to book,Monumental building,Good,240,Apartment,Existing building,Before 1906,Location type is not available,2,1,4,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/0e4c46e6/amsterdam/keizerskroon-makelaars-2/request-details
Apartment Jan van Galenstraat,1056 CB (Van Galenbuurt),1695,50,3,Interior is not available,"For rent: Apartment on the second floor of 49m2 (NEN-measured) with two bedrooms and outdoor space at the front and rear. Located on the Jan van Galenstraat, between the Erasmus and Rembrandt Park.",4 weeks,consultation,Specifics are not available,Good,162,Apartment,Existing building,1906-1930,Unobstructed view,2,1,1,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/cbc3f317/amsterdam/engel-en-volkers-amsterdam-centrum/request-details
Apartment Cruquiusweg 101 D+P,1019 AG (Oostelijk Havengebied),2750,103,4,Furnished,"Wow what a beauty this brand new 2+ bedroom apartment on the fifth floor of the Binnenbocht building on the trendy Cruquiuseiland with a sublime view over the water and the city of Amsterdam. This spacious apartment measures approx 103 m2, terrace of 12 m2 plus an external storage room of 9.5 m2 on the same floor.",4 weeks,Not available to book,"Accessible for disabled people, accessible for seniors",Excellent,309,Apartment,Existing building,2021,Location type is not available,2,1,1,Present,Details of garden is not available,Present,Inpandig,Yes,https://www.pararius.com/contact/8955bbaa/amsterdam/jlg-real-estate/request-details
Apartment Wethouder Frankeweg 3 1,1098 KV (Middenmeer),1950,70,3,Furnished,"Well maintained, light 2-bedroom apartment with 2 bathrooms and balcony in Amsterdam-Oost. ",4 weeks,01-08-2022,Specifics are not available,Excellent,196,Apartment,Existing building,1926,Location type is not available,2,2,1,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/66b2054b/amsterdam/amsterhomes/request-details
Apartment Kolfschotenstraat,"1104 PC (Bijlmer Oost (E,G,K))",1600,75,3,Furnished,Beautiful renovated two bedroom apartment in Amsterdam South-east!,5 weeks,01-08-2022,Specifics are not available,Excellent,213,Apartment,Existing building,1981-1990,Location type is not available,2,Number of bathrooms is not available,1,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/593f10fd/amsterdam/lv-housing/request-details
